type,rowCount,threadCount,totalMs,completedTotal,failedTotal,requestsPerSec,msPerRequest
json,1,1,0.047,100,0,2134.93,0.468
txt,1,1,0.049,100,0,2048.8,0.488
json,10,1,0.056,100,0,1797.43,0.556
txt,10,1,0.068,100,0,1463.7,0.683
json,100,1,0.112,100,0,890.68,1.123
txt,100,1,0.304,100,0,329.47,3.035
json,1,1,0.453,1000,0,2208.12,0.453
txt,1,1,0.493,1000,0,2028.85,0.493
json,10,1,0.535,1000,0,1869.74,0.535
txt,10,1,0.723,1000,0,1382.74,0.723
json,100,1,1.452,1000,0,688.56,1.452
txt,100,1,3.049,1000,0,327.97,3.049
json,1,1,4.209,10000,0,2375.58,0.421
txt,1,1,4.588,10000,0,2179.51,0.459
json,10,1,5.387,10000,0,1856.47,0.539
txt,10,1,7.033,10000,0,1421.85,0.703
json,100,1,13.698,10000,0,730.02,1.37
txt,100,1,30.578,10000,0,327.03,3.058
json,1,1,0.053,100,0,1897.1,0.527
txt,1,1,0.041,100,0,2436.47,0.41
json,10,1,0.046,100,0,2180.03,0.459
txt,10,1,0.063,100,0,1576.32,0.634
json,100,1,0.069,100,0,1443.21,0.693
txt,100,1,0.097,100,0,1035.03,0.966
json,1,1,0.413,1000,0,2422.19,0.413
txt,1,1,0.426,1000,0,2349.93,0.426
json,10,1,0.42,1000,0,2382.81,0.42
txt,10,1,0.465,1000,0,2152.51,0.465
json,100,1,0.666,1000,0,1502.37,0.666
txt,100,1,0.924,1000,0,1081.93,0.924
json,1,1,4.09,10000,0,2444.73,0.409
txt,1,1,3.98,10000,0,2512.48,0.398
json,10,1,4.195,10000,0,2383.87,0.419
txt,10,1,4.501,10000,0,2221.57,0.45
json,100,1,6.193,10000,0,1614.8,0.619
txt,100,1,9.058,10000,0,1103.96,0.906
